ரேடியோ அதிர்வெண் முடுக்கிகள், துகள்கள் நேரடியாக முடுக்குகிறது.	Radio athirven mudikkigal, thugalkal neradiyaga mudukukirathu.
மனிதவர்க்கம் படிப்படியான வளர்ச்சி நிலையை அடையும் முன்னர், உலகில் உள்ள அனைத்து மக்களுமே ஒரு காலக்கட்டத்தில் வேடர்களாக இருந்து வளர்ச்சி நிலையை அடைந்தவர்கள் என்றே கருதப்படுகிறது.	Manithavargam padippadiyaana valarchchi nilaiyai adaiyum munnar, ulagil ulla anaiththu makkalume oru kaalakkattaththil vedargalaaga irundhu valarchchi nilaiyai adainthavargal yendre karuthappadugirathu.
கன்னியாகுமரி மாவட்ட திவ்ய தேசங்கள் கன்னியாகுமரியில் உள்ள ஆழ்வார்களால் மங்களாசாசனம் (பாடல்) செய்யப்பட்ட வைணவத் திருத்தலங்கள்.	Kanniyaakumari mavatta thivya desangal kanniyaakumariyil ulla aazhvaargalaal mangallaasaasanam (paadal) seyyappatta vainavath thiruththalangal.
(இதன் காரணம், ஒப்பீட்டில் அதே அளவிலான வீடுகளை அதிகப் பணம் துரத்தியதே காரணமாகும்).	(Inthan kaaranam, oppeettil athe alavilaana veedugalai athiga panam thuraththiyathe kaaranamaagum).
அவருக்கு இறையியல் நாட்டம் உள்ளதால், தனது பட்டத்தை தன் மகன் சியா சென்னுக்கு கொடுத்துவிட்டு துறவியாகிறார்.	Avarukku iraiyiyal naattam ullathal, thanathu pattaththai than magan Siya sennukku koduththuvittu thuraviyaagiraar.
வாசனை மனமகிழ்ச்சியினை உண்டாக்கும்.	vasanai manamagizhchchiyinai undaakkum.
குமாரமங்கலமும், கம்யூனிஸ்ட் தலைவராகவும் மத்திய அமைச்சராகவும் இருந்த மோகன் குமாரமங்கலமும் இவரது சகோதரர்கள்.	kumaaramangalamum, communist thalaivaraagavum mathiya amaichcharaagavum irundha mogan kumaaramangalamum ivarathu sagitharargal.
அதன் பின்னரே ஹைதராபாத் மீது இராணுவ நடவடிக்கை மேற்கொள்ளப்பட்டு இந்திய தேசத்துடன் இணைக்கப்பட்டது.	Athan pinnare Hyderabad meethu raanuva nadavadikkai merkollappattu indhiya desaththudan inaikkappattathu.
குழந்தைகளுக்கான யோகப்பயிற்சிகளும், கம்ப்யூட்டர் பயிற்சிகளும் இலவசமாக வழங்கப்பட்டு வருகிறது.	Kuzhanthaigalukkaana yogappayirchigalum, computer payirchigalum ilavasamaaga vazhangappattu varugirathu.
இத்திரைப்படத்தின் பாடல்கள் அனைத்தையும் இசையமைத்தவர் ஏ.	Ithhiraippadaththin paadalgal anaiththaiyum isaiyamaiththavar A.
அந்த வகையில் டார்ஜிலிங், அசாம், நீலகிரி ஆகியவை தேயிலை விளையும் சிறப்பு பூகோளப் பகுதியாகும்.	Antha vagaiyil Darjeeling, Assam, Neelagiri, aagiyavai theyilai vilaiyum sirappu bookolap paguthiyaagum.
டேவிட்.	David.
மேலும் அலொட்சான் மூலம் மென்மையாக்கப்படுவதால் விலங்குகள் மற்றும் மற்ற இனங்கள் கணையத்தில் உள்ள பீட்டா செல்கள் அழிக்க அழைக்கப்பட்டு, நீரிழிவு நோய் பாதிக்க காரணமாக அமைகிறது.	Melum allotsaan moolam menmaiyaakkappaduvathaal vilangugal mattrum mattra inangal kanaiyaththil ulla beta cellgal azhikka azaikkappattu, neerizhivu noi paathikka kaaranamaaga amaigirathu.
இது வடக்கு அத்லாந்தியப் பெருங்கடலின் குறுக்கே ஓடுகிறது.	Ithu vadakku atlantiya perungkadalin kurukke oodugirathu.
சேரன் ஞானசேகரனாக	Seran Ganasekaranaaga
எதிர்பாராத விளைவுகளை மூன்று வகையாகப் பகுக்கலாம்:	Yethirpaaratha vilaivugalai moondru vagaiyaagap pagukkalaam:
ராஜுரா சட்டமன்றத் தொகுதி	rajura sattamanrath thoguthi
சூதாடிகள் தாங்கள் சூதாட்டத்தில் பங்கேற்பதற்கு குறிப்பிடும் சில காரணங்கள்:	Soothaadigal thaanal soothaataththil pangerpatharkku kurippidum sila kaaranangal:
பயன்படும் வளிமங்கள், தொகுதியின் உடற்கூறு அல்லது அமைப்பு, வழங்கப்படும் வளிமங்களின் பயன்பாடு என்பன உயிரினங்களைப் பொறுத்து வேறுபடுகின்றன.	Payanpadum valimangal, thoguthiyin udarkooru allathu amaippu, vazhangappadum valimanggalin payanpaadu yenbana uyirinangalaip poruththu verupaduginrana.
வட்டங்கள்:	Vattangal
நாம் பொய்மையினால் ஏற்படும் பொய்யான கவர்ச்சிகரமான மாயைகள் ஆகியவற்றால் ஏமாறக்கூடாது என்பதை வலியுறுத்துகிறது.	Naam poimaiyinaal yerpadum poiyyaana kavarchchigaramaan maayaigal aagiyavattrral yemaarakkoodathu yenbathai valiyuruththugirathu.
இந்த தேவைகளின் நிமித்தம் ஏற்கனவே மேல்மாடியுடன் கூடியதாக அமைக்கப்பட்டதும், விசாலமற்று இருந்ததுமான சிற்றாலயம் பெரிய ஆலயமாக மாற்றம் செய்யப்பட வேண்டிய தேவை உணரப்பட்டதும், சிற்றாலயச் சுற்றாடலில் வாழ்ந்த மக்கள் 39 குடும்பங்களின் உறுப்பினர்கள் பெருமுயற்சியில் ஈடுபட்டார்கள்.	Intha thevaigalin nimiththam yerkanave melmaadiyudan koodiyathaaga amaikkappattathum, visaalmattru irunthathumaana sittraalayam periya aalayamaaga mattram seiyappada vendiya thevai unnarappattathum, sittralayach suttraadalil vaazhntha makkal 39 kudumbangalin uruppinargal perumuyarchchiyil eeduppattargal.
தமிழ்நாட்டின் சிவகங்கை மாவட்டத்தில் கோட்டையூரில் கே.	Thamizhnaattin Sivagangai maavattathil Kottaiyooril K.
இது பெண்கள் விழாக்களில் அணியும் சிறப்புவகை ஆடையாகும்.	Ithu pengal vizhakalil aniyum sirappuvagai aadaiyaagum.
அமாரி தொலைவு என்பது இரண்டு முனைமிகு அணிகளுக்கு இடையேயான ஓர் அளவீடு ஆகும், இது தனித்த கூறு பகுப்பாய்வு நெறிமுறைகளில் ஒருங்கிணைப்பதற்கும், தீர்வுகள் ஆகும்.	Amari tholaivu yenbathu irandu munaimigu anigalukku idaiyeyaana or alaveedu aagum, ithu thaniththa kooru paguppaayvu nerimuraigalil oruginaippatharkum, theervugal aagum.
