కృష్ణాష్టమి నాడు భక్తులు పగలంతా ఉపవాసం ఉండి, సాయంత్రాం శ్రీకృష్ణుని పూజిస్తారు.	Krishnashtami naadu bhakthulu pagalantha vupavaasam vundi, saayanthram shreekrishnuni poogistharu.
ఇంకొక ప్రత్యామ్నాయ పద్ధతిలో పౌండ్ అనేది శక్తి యొక్క ప్రధాన ప్రమాణము.	inkkoka pratyanmaya paddathilo pound anedi shakthi yokka pradhana pramanamu.
ఇతడికి చిత్రకళ పట్ల చిన్నతనం నుండే ఆసక్తి ఉండేది.	ithadiki chitrakala patlla chinnathanam nunde aasakthi vundedi.
అయితే చెప్పుడు మాటలను విన్న మురళి తాయారును చేరదీయడానికి నిరాకరిస్తాడు.	aithe cheppudu matalanu vinna muraii thayarunu cheradiyataniki nirakaristhadu.
'వేదాంతము' అనగా అతి ఉత్కృష్ఠ జ్ఞానం అయిన బ్రహ్మమును తెలుసుకోవటం కొరకు నిర్దేశించడిన ఆధ్యాత్మిక గ్రంథముల చివరి భా గములు.	vedhanthamu' anagha athi vrutkrusta gynanam ayina bramamunu thelusukovatam kosam nirdesinchina adyathmika grandhamula chivari bhagamulu .
దీనికి మిశ్రీని (పటిక బెల్లం) చేర్చి గోరువెచ్చగా ఉన్నప్పుడే తీసుకోవాలి.	dhiniki mishrini (pattika bellam) cherchi goruvechagha vunnapude thisukovali.
నిబ్బరమైన పానుగంటి వచనమునకబ్బురపడని గద్యప్రేమికులుండరు.	nibbaramaina panuganti vachanamunakabhurapadani gadhya premikulundaru.
బిందె	binde
ఇదిగో నా ధనుస్సు జామదగ్న్యాన్ని ఎక్కుపెట్టి, బాణం తొడిగి నీ బలం చూపు.	idigo naa dhanasu jamadhagvani ekkupetti, bhanam thodigi ni balam chupu.
బలరామయ్య మిత్రుడు గంగరాజు ఒక వడ్డీ వ్యాపారి.	balaramaya mithrudu gangaraju oka vaddi vyapari.
అలా డిగ్రీ మొదటి సంవత్సరం పూర్తయ్యే సరికి లెక్కల మీద మంచి పట్టు వచ్చింది.	ala degree modati samvastharam purthaye sariki lekkala mida manchi pattu vachindi.
ధరించగలిగిన కంప్యూటర్	dharinchagaligina computer
ఒకె ఇంట్లోని అమ్మ కొడుకులు కూడా బూతు మాటలతో తిట్టు కోవడం కొంత ఎబ్బెట్టుగా ఉంది.	oke intloni amma kodukulu kuda boothu matalatho thittu kovadam kontha yebetuga vundi.
సూదం రమేశ్ బాబు	Sudham ramesh babu
తరువాత దక్షిణ ఆఫ్రికాతో జరిగిన తదుపరి మ్యాచ్ లో అతను తన తొలి శతకం, అవుట్ కాకుండా 119 పరుగులు చేయటం ద్వారా సాధించాడు.	tharuvatha dhakshina africalo jarigina thadupari match lo athanu thana tholi shathakam, avutt kakunda 119 paruguglu cheyatam dwara sadinchadu.
చాలామంది వాగ్గేయకారుల చిత్రాలను కూడాపొందుపర్చడం జరిగింది.	Chala mandhi vaghdeyakarula chitralanu kuda pondhuparachadam jarigindhi.
ఈ రెండూ ప్రక్రియలను అణ్వాయుధాల తయారీలో కూడా వాడతారు.	ee rendu prakriyalanu anwayidam thayarilo kuda vadutharu.
లెయెండెకర్ తో బాటు నివసిస్తున్న తన స్నేహితుడు ఛార్లెస్ బీచ్ ను ప్రేరణగా తీసుకుని సృష్టించిన కల్పిత పాత్రే ఆరో కాలర్ మ్యాన్.	leyendekar tho batu nivasisthunna thana snehithudu charles beach nu preranaga thisukoni srustinchina kalpitha pathre aro collar myan.
జనవరి 1886 లో పేటెంట్ పొందిన బెంజ్ పేటెంట్ Motorwagen, మరియు గొట్లిఎబ్ దైమ్లేర్ మరియు ఒక ఆ సంవత్సరం పెట్రోల్ ఇంజిన్ యొక్క అదనంగా ఒక స్టేజ్కోచ్ యొక్క ఇంజనీర్ విల్హెల్మ్ మేబ్యాక్ యొక్క మార్పిడి.	january 1886 lo patent pondhina benz patent Motorwagen, mariyu gotliyeb daimlor mariyu oka aa samvastharam petrol engine yokka adhanagha oka slejoch yokka engine vilvem mayback yokka marpidi.
వెలువరించిన ఈ మూడు జిల్లా సర్వస్వాలు ఆయా జిల్లాల్లోని మారుమూల పల్లెలకు చేరువయ్యాయి.	veluvarinchina ee mudu jilla sarvasvalu aya jillaloni marumula pallelaku cheruvavthayi.
సాల్వేషన్ ఆర్మీ (అంతర్జాతీయ)	salveshan army (international)
తమ అనుభవము అద్వైతం, జ్ఞానయోగా లతో ముడిపడి ఉన్నా కూడా అడిగినవారి మనస్థితిని బట్టి వారికి భక్తి మార్గములని కూడా బోధించేవాడు.	thama anubhavam adveitham, gyanayoga lalo mudipadi vunna kuda adiginavari manasthithini batti variki bhakthi marghamulani kuda bhodinchevaru.
జీవ పరిణామ క్రమంలో కొన్ని వందల జాతులు ఉండేవి.	jiva parinama kramamlo konni vandhala jathulu vundevi.
దివాణము	dhivanamu
సన్‌స్క్రీన్ లోషన్ రాసుకోగానే బయటికి పోకూడదు. సన్‌స్క్రీన్ చర్మం మీద ఇంకేందుకు పావుగంట సమయం పడుతుంది.	sunskin lotion rasukogane bayataki pogudadu, sunskin charmam mida inkendhuku pavuganta paduthundi .
ఉత్సవం ఈ విధంగా సాగుతూ వుండగా రాజుకు, సామంత రాజులూ, మండలేశ్వరులూ మొదలైన వారు కానుకలనూ, కప్పాలనూ ఈ సందార్భంలో చెల్లించే వారు.	vutshavam ee vidhanga saguthundaga rajuku, saamantha rajuluu, mandaleshwarulu modalaina varu kanukalanu, kappalanu ee sandharbham lo chellinchevaru .
బీహార్ దేవ్ ఖిల్లా	bihar dev khilla
విజయనగర చక్రవర్తులు ప్రత్యేకంగా శ్రీకృష్ణదేవరాయలు కొత్త ఆలయాలు నిర్మించడమేకాకుండా పాత ఆలయాలను పునరుద్ధరించారు.	vijayanagara chakravarthulu prathyekangha srikrishnadevarayulu kotha aalayalu nirminchadamekakunda patha aalayalanu punarudarincharu.
గోవిందాపూర్	govindpur
మహాకవి శేషేంద్ర విరచిత షోడశి రామాయణ రహస్యములు, స్వర్ణహంస హర్షనైషద కావ్య పరిశీలన ప్రపంచ సాహితీ విమర్శలో రెండు మహోన్నత శిఖరాలు.	mahakavi sheshendra virachitha shodali ramayana rahasyamulu, swarnahamsa harshanaishada kavya parishilana prapancha sahithi vimarshalo rendu mahonatha shikaralu.
నోరి గోపాలకృష్ణమూర్తి	Nori Gopalakrishnamurthy
పాలిచ్చింది.	palichindi.
ఉన్నవి తగ్గిపోతాయి.	vunnavi thaggipothayi.
బర్మింగ్హాం లో కానన్ డోయల్	burghingham lo kanan doyal
ఈ కార్యక్రమము యొక్క ఉపయోగముని పెంపొందించుటకు INSEAD మధ్య తూర్పుప్రాంత ప్రాంగణంలో ఒక ఎగ్జిక్యూటివ్ MBA కార్యక్రమముని ప్రారంభించింది, ఫ్రాన్సు మరియు సింగపూర్ లో ఉన్న ఐరోపా-ఆసియా శాఖలలో విలీనం చేసేముందు INSEAD యొక్క అబూ ధాబి ప్రాంగణంలో ఎగ్జిక్యూటివ్ MBA కార్యక్రమము యొక్క సగ భాగాన్ని నడిపేవారు.	ee karyakramamu yokka vupayogamuni pempondhinchutaku INSEAD madhya thrupuprantha pranganamlo oka executive MBA karyakramuni prarambhinchindi, france mariyu singapore lo vunna airopa-asia shakalalo vilinam chese mundu INSEAD yokka Abudabhi pranghanamlo executive MBA karyakramamu yokka saga bhagani nadipevaru.
