තන්ත්‍රයන්ට අනුව මහා තත්ත්වය (පරබ්‍රහ්මන්) ද්විත්වයන් මත රඳා පවතී.	Thanthrayanta anuwa maha thathwaya (parabrahman) dwithwayan matha randa pawathee.
මෙය රජුගේ වාර්තාගත ඉහළම දිනය වන වර්ෂය 26ට අයත් ය.	meya rajuge warthagatha ihalama dinaya wana warshaya 26ta ayath ya.
නැසෙන වැඩෙන හෙයින් සංවර්ත විවර්ත නම්වූ එක් කල්පයක්ද, සංවර්ත විවර්ත දෙකක්ද, සංවර්ත විවර්ත තුනක්ද, සංවර්ත විවර්ත සතරක්ද, සංවර්ත විවර්ත පසක්ද, සංවර්ත විවර්ත දශයක්ද, අසුවල් තැන උපන්මි, මෙනම් වීමි, ආත්මයද ලෝකයද ශාස්වතය (සදාකාලිකය), වඳය, පර්වත කුටයක් මෙන් සිටියේය, ඉන්ද්‍රඛීලයක් (මහ කණුවක්) මෙන් සිටියේය, ඒ සත්වයෝද ගමන් කරත්, සැරිසරත්, චුතවෙත්, උපදිත්, සදාකාලික වස්තුමෙන් නොවෙනස්ව ආත්මය ඇත්තේය.	nesena wedena heyin sanwartha vivartha nam vu ek kalpayakda, sanwartha vivartha dekakda, sanwartha vivartha thunakda, sanwartha vivartha satharakda, sanwartha vivartha pasakda, sanwartha vivartha dashayakda, asuwal thena upanmi, menam wimi, athmayada lokayada shaswathaya (sadakalikaya), wandaya, parwatha kutayak men sitiyeya, indrakhilayak (maha kanuwak) men sitiyeya, e sathwayoda gaman karath, serisarath, chuthaveth, upadith, sadakalika wasthu men nowenaswa athmaya ettheya.
අනෙක් ග්‍රහලෝක වායුන්ගේ එකතුවකි.	anek grahaloka wayunge ekathuwaki.
ඉහල අධිකරණ තීන්දු හා ව්‍යවස්ථාදායගේ තීන්දු පහල අධිකරණ වල මේ සියල්ල එක්ව ගෙන පිළිගත හැකි හේතූන්ද සමගින් නීතිය යනු කුමක් දැයි නිගමනයකට එළඹ එම නීතිය අදාල නඩුවේ කරැණු වලට අදාල කරගනු ලැබේ.	ihala adhikarana thindu ha vyavasthadayakaye thindu pahala adhikaranawala me siyalla ekwa gena piligatha heki hethunda samagin nithiya yanu kumak deyi nigamanayakata elamba ema nithiya adala naduwe karunuwalata adala karaganu lebe.
දඬයම් හිගවන විටැ ගොවිතැනට හුරුවීම මානවයාගේ ස්වභාවයකි.	dadayam hinga wana wita gowithenata huru wima manawayage swabhawayaki.
එපමණක් නොව ඉතා සීමිත වූ ජන කොටසක් තමන්ගේ අවශ්‍යතා තමන් අතරින්ම ඉටු කර ගැනීම තුළ විශාල ජන කණ්ඩායමක් වශයෙන් ඇතිවන නොගැලපීම් දුරස්ව යයි.	epamanak nowa itha simitha wu jana kotasak thamange awashyatha thaman atharinma itu kara genima thula vishala jana kandayamak washayen ethiwana nogelapim duraswa yayi.
ස්ලෝවේනයා ජනරජයේ පත්‍රකලාවේදීන්ගේ සංගමය.	Slovenia janarajaye pathra kalawedinge sangamaya.
මේ පුරාවෘත්ත කතා වලින් ඉතා වැදගත් කොට සැලකිය හැකි පඩුවස්‌ දෙව් රජුගේ දිවි දෝෂය පිලිබඳ කතා වස්‌තුව හා උඩරට නැටුම අතර මනා සබඳතාවයක්‌ පවතී.	me puravruttha kathawalin itha wedagath kota selakiya heki panduwas dew rajuge diwi doshaya pilibanda katha wasthuwa ha udarata netuma athara mana sabandathawayak pawathi.
සටන්කරුවෝ ප්‍රබල ප්‍රහාරයක් දියත් කළහ.	satankaruwo prabala praharayak diyath kalaha.
ඇතැම් විද්වතුන් ගේ තර්කය වන්නේ කතොලික දහමතුල ස්ත්‍රී චිරෝධී ආකල්ප ජනනය වියහැකි මූලධර්මයන් නැතිබවයි.	ethem widwathunge tharkaya wanne katholika dahama thula sthri wirodhi akalpa jananaya wiya heki muladharmayan nethi bawayi.
රාවණා යුගය යනු සටන් ශාස්ත්‍රයේ ස්වර්ණමය යුගයකි.	Ravana yugaya yanu satan shashthraye swarnamaya yugayaki.
බේරෙ වැව ශ්‍රී ලංකාවේ, කොළඹ නගරයේ පිහිටා ඇත.	Bere weva Sri Lankawe, Kolamba nagaraye pihita etha.
නූල් බැඳීම.	nul bendima.
පහළ බෝධියට උතුරු පසින් මෙම බුදු මැදුර පිහිටා ඇත.	pahala bodhiyata uthuru pasin mema budu medura pihita etha.
‘මහණෙනි, කඨිනයක් පිළිගත්තා වූ කඨිනයක් ඇතිරුවා වූ භික්‍ෂූන් වහන්සේට ආනිසංස පහක් ලැබේ’	mahaneni, katinayak piligattha vu katinayak ethiruwa vu bhikshun wahanseta anisansa pahak lebe'.
එන්නතක්නොමැත.	ennathak nometha.
ලෝකයේ ජයග්‍රාහකයා: ජහාන්ගීර්	lokaye jayagrahakaya: Jahangeer
පාකිස්ථානයේ බෞද්ධ ප්‍රජාවගේ නායකයකු වූ රෝයි 1996 සිට 2012 ඔහුගේ මරණය තෙක්ම පාකිස්ථාන බෞද්ධ සංගමයේ නායකයා ලෙස කටයුතු කළේ ය.	Pakisthanaye bauddha prajawage nayakayaku vu Roy 1996 sita 2012 ohuge maranaya thekma Pakishthana bauddha sangamaye nayakaya lesa katayuthu kaleya.
සබරගමුව නර්තනයේ චාරිත්‍රයක් වන්නේ ගම් මඩුවයි.	Sabaragamuwa narthanaye charithrayak wanne gam maduwayi.
රජයද මේ කාර්යය සදහා අත්වැලක් දේ.	rajayada me karyaya sandaha athwelak de.
1996 යළි ඉස්ලාමාබාද් වෙත පැමිණෙන තෙක්ම ඔහු විවිධ දුරබැහැර රටවල කටයුතු කරමින් සිටියේ ය. ‍	1996 yali Islamabad wetha peminena thekma ohu vividha duranbehera ratawala katayuthu karamin sitiyeya.
ගෝලීය උෂ්ණත්වය ඉහළ යාමට හේතුවන කාබන්ඩයොක්සයිඩ් වායුව අජිවර්තීගෝලය සිදුරු කරයි.	goliya ushnathwaya ihala yamata hethuwana carbon dioxydie wayuwa ajiwarthigolaya siduru karayi.
රාජ්‍ය අතර ගැටුම් හෝ සිවිල් යුද්ධ වාර්තා කරන පත්‍රකලාවේදීන් රජයෙන් ආරක්ෂාවක් බලාපොරොත්තු වේ.	rajya athara getum ho civil yuddha vartha karana pathra kalawedin rajayen arakshawak balaporotthu we.
එහි කුළුණු දෙකක්, නෙරි කුළුණු දෙකක් සහ ෂඩාස්‍රාකාර ද්වාමණ්ඩපයකට පිවිසෙන සමචතරස්‍රාකාර පාදමක් සහිත ය.	ehi kulunu dekak, neri kulunu dekaka saha shadasrakara dwara mandapayakata piwisena samachathurasrakara padamak sahithaya.
මෙහිදි කාල සීමාවක් සහ නිෂ්පාදන තාක්ෂණය නිෂ්චිත වන අතර මෙමගින් භාණ්ඩ වර්ග හෝ සේවාවන් දෙකක් සැසදිය හැකිය.	mehidi kala simawak saha nishpadana thakshanaya nishchitha wana athara memagin bhanda warga ho sewawan dekak sesandiya hekiya.
ඔහුගේ ආක්‍රමණ හේතුවෙන් රාජ්‍යයට රත්රන් ලැබුණු අතර, කුෂාණවරුන් සමග සම්බන්ධතා පැවැත්වීමෙන් කාසි නිර්මාණය පිළිබඳ දැනුම ද දියුණු විය.	ohuge akramana hethuwen rajyata rathran lebunu athara kushanawarun samaga sambandhatha pewethwimen kasi nirmanaya pilibanda denuma da diyunu wiya.
නානායක්කාර සහ එන්.	Nanayakkara saha N.
නමුදු පහත සඳහන් ප්‍රභවයන් මගින් ද අමතර තොරතුරු සපයා ගත හැක.	numudu pahatha sandahan prabhavayan magin da amathara thorathuru sapaya gatha heka.
මොසිල්ලා ෆයර්ෆොක්ස් සහ මයික්‍රෝසොෆ්ට් ඉන්ටර්නෙට් එක්ස්ප්ලෝරර් වෙබ් බ්‍රවුසර් සඳහා උදාහරණයි.	Mozilla Firefox saha Microsoft Internet Explorer web browser sandaha udaharanayi.
කිසිඳු ආසන්න කිරීමක් නොකර වඩාත් සංකීර්ණ වූ නිවැරදි ම සමීකරණය ගොඩනංවන්නේ නම්, (ප්‍රභවය, ග්‍රාහකයා සහ තරංගය හෝ සංඥාව එකිනෙකට සාපේක්ෂ ව රේඛීය ව චලිත වේ යැයි උපකල්පනය කිරීමෙන්) යම් යම් රසවත් සහ එනිසා ම පුදුම එලවන සුළු ප්‍රතිඵල ලබා ගත හැක.	kisindu asanna kirimak nokara wadath sankirna vu niweradi ma samikaranaya goda nangwanne nam, (prabhawaya, grahakaya saha tharangaya ho sagnawa ekinekata sapekshawa rekhiyawa chalitha we yeyi upakalpanaya kirimen) yam yam rasawath saha e nisa ma puduma elawana sulu prathiphala laba gatha heka.
මේ සඳහා ගත හැකි ක්‍රියාමාර්ග අතර වැදගත් කිහිපයකි.	me sandaha gatha heki kriya maraga athara wedagath kihipayaki.
මෙහි සටහන් වෘත්තය මධ්‍යයේ සම සතරැස් කොටුවක් තුළ වෘත්ත හතක් වේ.	mehi satahan vurthaya madhyaye sama sathares kotuwak thula vurtha hathak we.
ඇලීශ්යා ෆින්ච් 1622දී පීටර්ගේ සැබෑ පියා "ජොක්" කැම්බල් සමඟ විවාහ විය.	Alicia Finch 1622di Peterge sebe piya "Jock" Camble samaga vivaha wiya.
රසායනික ප්‍රතික්‍රියාවක් යනු සෑම විටම යොදාගන්නා රසායන ද්‍රව්‍යයේ වෙනස්වීමක් පෙන්වීමකි.	rasayanika prathikriyawak yanu sema witama yodaganna rasayana dravyaye wenaswimak penwimaki.
